Period,Alphabet Inc Price,Amazon.com Inc Price,Facebook Inc Price,Microsoft Corp Price
2020-04-06 00:00:00,1167.15,1970.7,163.0,161.59
2020-04-03 00:00:00,1097.88,1906.59,154.18,153.83
2020-04-02 00:00:00,1120.84,1918.83,158.19,155.26
2020-04-01 00:00:00,1105.62,1907.7,159.6,152.11
2020-03-31 00:00:00,1162.81,1949.72,166.8,157.71
2020-03-30 00:00:00,1146.82,1963.95,165.95,160.23
2020-03-27 00:00:00,1110.71,1900.1,156.79,149.7
2020-03-26 00:00:00,1161.75,1955.49,163.34,156.11
2020-03-25 00:00:00,1102.49,1885.84,156.21,146.92
2020-03-24 00:00:00,1134.46,1940.1,160.98,148.34
2020-03-23 00:00:00,1056.62,1902.83,148.1,135.98
2020-03-20 00:00:00,1072.32,1846.09,149.73,137.35
2020-03-19 00:00:00,1115.29,1880.93,153.13,142.71
2020-03-18 00:00:00,1096.8,1830.0,146.96,140.4
2020-03-17 00:00:00,1119.8,1807.84,149.42,146.57
2020-03-16 00:00:00,1084.33,1689.15,146.01,135.42
2020-03-13 00:00:00,1219.73,1785.0,170.28,158.83
2020-03-12 00:00:00,1114.91,1676.61,154.47,139.06
2020-03-11 00:00:00,1215.41,1820.86,170.24,153.63
2020-03-10 00:00:00,1280.39,1891.82,178.19,160.92
2020-03-09 00:00:00,1215.56,1800.61,169.5,150.62
2020-03-06 00:00:00,1298.41,1901.09,181.09,161.57
2020-03-05 00:00:00,1319.04,1924.03,185.17,166.27
2020-03-04 00:00:00,1386.52,1975.83,191.76,170.55
2020-03-03 00:00:00,1389.11,1908.99,185.89,164.51
2020-03-02 00:00:00,1389.11,1953.95,196.44,172.79
2020-02-28 00:00:00,1339.33,1883.75,192.47,162.01
2020-02-27 00:00:00,1318.09,1884.3,189.75,158.18
2020-02-26 00:00:00,1393.18,1979.59,197.2,170.17
2020-02-25 00:00:00,1388.45,1972.74,196.77,168.07
2020-02-24 00:00:00,1421.59,2009.29,200.72,170.89
2020-02-21 00:00:00,1485.11,2095.97,210.18,178.59
2020-02-20 00:00:00,1518.15,2153.1,214.58,184.42
2020-02-19 00:00:00,1526.69,2170.22,217.49,187.28
